arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
12967,12962,0,13031,13113,190,734278,341354,223636,127892,229,11248,36833,33893,155897,9869,6433,903,7884,3582,2111,11684,595
12711,12768,0,13035,13081,93,283583,194194,240888,132477,212,10419,97740,95142,409554,16148,9313,1297,7943,3361,1658,9568,447
13274,13241,0,12811,12842,155,286456,196038,128970,66473,202,3076,35929,33214,153851,10086,6945,1476,9079,3626,2145,16423,562
12396,12030,0,13242,13227,145,549093,541764,356059,214466,228,12790,81088,76161,328078,10332,6451,947,5670,2983,1672,8888,427
13411,12278,0,12087,12133,120,280441,191757,127317,65719,201,3041,66473,63891,286299,13034,11523,1802,10437,4029,2072,12811,522
12408,12111,0,13149,13099,147,510415,474758,308387,182286,211,10785,76139,75488,345513,10370,6144,816,5508,3015,1695,12047,513
12926,12438,0,12698,13078,175,288890,195266,128412,66587,199,11403,72857,68325,297950,13400,11392,1826,9503,3526,2050,11753,512
12895,13831,0,13287,13138,138,481734,315222,203167,82887,202,3288,35949,33728,157333,10591,7037,907,6304,3005,2172,12862,560
12272,12289,0,12092,12289,81,527787,354426,232041,133360,230,21687,131986,127716,345088,13985,9656,1418,5936,3000,1717,9180,503
13326,13594,0,12898,11968,118,281451,194199,128060,66174,203,3175,36404,33955,156995,13049,9035,1266,8144,3956,2381,15118,540
12092,12999,0,13072,12786,177,728437,472411,299475,118891,216,10351,72325,33206,154821,10411,6693,922,5190,3071,1732,9183,656
12453,13310,0,13218,12681,128,284779,195938,129522,65461,209,11874,75714,70885,463636,15812,10931,1813,7968,3909,2364,14240,597
13111,12735,0,12707,12765,167,767899,481836,213067,117288,202,9529,67448,32896,153856,10196,6829,918,6077,2975,1684,9909,468
12043,12018,0,12288,12238,120,285491,195338,130840,129212,225,11587,80903,96744,539007,18607,12992,1531,7477,3531,2057,9167,477
13879,13946,0,13573,13663,146,604576,193821,127594,65709,205,8962,283044,283861,1186996,26616,16748,3034,15082,8754,2286,12467,560
12438,12353,0,12042,12855,125,600333,334023,299716,171268,210,16213,69525,68237,310891,13356,5957,807,5383,3055,1743,11407,554
13513,13324,0,13636,13784,163,556450,198042,131442,67608,195,3125,36485,76325,328274,13917,9818,1844,10521,3911,2349,11788,550
12984,12389,0,12983,13148,165,536182,496374,306526,171534,210,9682,68070,65211,291050,9486,6306,832,5627,3007,1707,8901,524
12448,12133,0,12418,12417,112,283660,196301,129861,66852,196,11222,78705,78361,358679,13627,13076,2305,10352,3544,2044,11891,481
13122,13999,0,14342,14397,146,618280,392853,244200,122053,189,3011,35302,32687,153114,10528,7023,806,6147,3001,2061,12723,510
11817,11618,0,11927,11904,119,506380,332932,214093,118893,212,16113,102157,102063,310247,13415,9466,1430,5532,2901,1599,8201,493
12883,13166,0,13740,13162,146,539864,362877,238514,66569,201,3032,35521,32871,154422,12547,8477,1257,7195,4015,2452,14028,547
12440,12009,0,11730,11781,118,561725,359001,225770,123465,224,15849,98925,63768,284256,12890,9092,1322,6273,2969,1671,9319,479
12799,12790,0,12563,12307,105,283326,194180,129260,66966,197,3291,36543,33906,340254,14994,10347,1594,8706,4379,2631,15760,537
13336,13399,0,13827,14745,158,947819,400040,246754,135367,218,10813,35290,32912,154396,10146,6668,838,5691,2977,1679,8889,548
11867,11951,0,11685,12024,123,281688,193492,216990,121046,207,9869,72634,100864,454859,16795,9507,1310,8508,3626,2033,9247,456
13691,13690,0,13329,13629,201,541366,361119,236621,135738,213,3094,35737,32770,153107,10006,6671,1354,7896,3527,2042,14064,555
13239,13272,0,12017,11729,112,283354,363710,227617,124457,202,9655,99549,96960,425765,12418,8606,1321,7838,3524,1720,9432,457
12693,11818,0,12378,12518,122,284661,195013,129279,66804,198,3084,36724,33903,158112,10579,10793,1501,9081,3586,2053,15688,551
12786,12858,0,13523,13236,175,582441,589206,384186,221553,219,11667,76190,71379,308782,9840,6521,855,5494,2918,1630,9333,435
12810,11976,0,12221,11951,108,286135,195583,127933,65983,195,9654,67655,65230,293266,13104,12092,1927,10879,3617,2163,12724,536
13382,13610,0,13544,12540,153,522164,495864,320223,126898,215,11622,81125,77885,331917,9477,6504,884,5778,3475,2024,12222,495
12555,12625,0,12532,11989,142,585896,374748,234701,173818,225,16229,97698,62028,412147,15902,11508,1473,7489,3503,2076,11782,498
12857,13445,0,12806,12946,202,728269,472754,215029,66380,189,3124,36517,34227,160121,10665,7145,1142,8157,3644,2121,12023,534
12003,12536,0,12704,13389,147,574209,385754,252986,220364,229,20565,76065,71084,308813,13063,8623,906,5040,3000,1679,8981,475
13011,12791,0,12109,12147,120,281886,193490,128423,66389,192,3105,36120,65363,292059,13276,9315,1353,10580,4085,2496,12603,510
12819,12857,0,12797,13349,172,737809,339689,222614,127467,217,11336,35706,32977,153318,10685,7343,929,6046,3024,1708,9127,483
