arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
11946,11938,0,11716,11793,118,164301,106605,71781,88403,195,8829,55534,54248,360009,16356,12517,1450,8424,2790,2143,11888,517
12963,13613,0,12508,13424,200,617739,403128,169752,99343,207,10945,24417,23122,97066,12521,9815,1115,13112,3355,2387,15989,536
12437,12426,0,12783,12757,116,157240,103183,176592,97392,195,9405,90368,85980,361283,14533,8585,1248,7470,2745,1718,8933,505
13243,12418,0,12396,12288,190,177355,117072,76867,38913,187,2434,25612,24433,104001,12862,11398,1528,11834,2988,2112,17466,591
11770,11672,0,12450,12442,158,419360,454257,299196,185377,202,11711,66413,62733,255419,9552,6808,876,6344,2169,1644,8953,468
12795,11577,0,11347,11531,129,181094,118878,78167,39468,185,8919,56651,54968,232429,14241,14230,1928,12940,2843,2071,15530,542
12002,12172,0,13131,13141,167,591093,377202,246102,147910,205,10238,64755,65570,92065,10062,7250,822,6363,2229,2113,11516,519
12035,12397,0,12367,12374,121,171296,114802,74233,37924,187,10175,61168,88568,359810,19422,15064,2094,13327,3308,2368,13037,546
12291,12624,0,13136,13111,177,401451,254857,162270,36525,187,2336,23202,22078,90700,10344,7572,893,7217,2177,2137,13897,525
12294,12318,0,11782,11845,111,423944,277296,183140,107527,223,22043,121981,114284,277713,14273,10471,1354,6765,2324,1714,9496,493
13249,13447,0,13166,12219,155,172798,110736,72004,36267,187,2380,23528,22442,188616,14733,11541,1520,10444,3139,2333,16440,503
12188,11877,0,12392,12450,157,612611,388034,159150,92149,206,9948,63404,22627,92956,9248,6460,788,5169,2161,1645,8117,460
12941,12983,0,12404,12399,164,172153,111576,71717,114671,196,10861,64271,60861,391859,17180,12992,1409,12058,3222,2307,15875,523
12731,12543,0,12226,13131,186,632800,386378,150499,85805,200,8784,22442,21364,89506,9448,7039,838,6501,2187,1682,9419,510
12023,11870,0,11733,11643,138,176573,116683,78317,103216,199,11219,72050,120646,508850,21666,16722,1613,10544,2898,2081,10369,513
13964,13232,0,13791,13154,148,158144,100130,67548,34190,185,2354,23011,21440,88244,9228,6598,1208,7470,2656,2009,14038,603
11469,11548,0,12299,12633,172,366429,371282,235867,136752,198,9467,61198,61514,266619,11121,8387,935,7542,2299,1644,10862,533
13191,13481,0,14118,14265,154,159348,102094,68148,33503,183,11110,63797,60984,248871,13940,13030,1924,10570,2630,2315,13629,553
12014,11774,0,12432,12292,137,658264,400181,245103,140850,197,8809,55593,54392,94339,11523,8561,833,8005,2318,1699,10748,518
11262,11918,0,11960,12073,160,169384,112161,74056,36522,188,10711,66553,67676,291104,18759,14345,2169,12146,2684,1974,12752,493
13309,14044,0,14109,14254,146,491647,299231,185141,34253,181,2362,23585,22230,93505,9916,7017,785,5991,2282,2048,11974,513
11529,11492,0,11441,11551,157,391001,249026,157492,89385,207,15330,90563,92338,250771,15618,12513,1598,8899,2246,1632,10965,429
13574,13224,0,13531,12450,156,421241,276794,67986,34106,185,2316,23116,22275,135041,12094,8862,1450,7498,3058,2300,13074,525
12451,12671,0,12341,11900,182,453789,277534,172918,151169,217,15656,90150,55519,236962,14858,11416,1023,8822,2382,1745,12328,521
13330,13337,0,12713,12793,147,366376,230119,68834,34709,196,2332,23195,22290,275849,14225,10801,1326,12632,3293,2409,15564,519
12789,12816,0,12849,13847,201,809389,524028,201787,111526,211,10459,24965,23719,100674,11479,8294,796,7257,2285,1639,9371,501
