arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
536,536,0,536,536,11,273898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
452,452,0,452,452,8,184723,9264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
584,584,0,584,584,13,181417,49341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
628,628,0,628,628,10,195323,121887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,540,0,540,540,10,195004,121676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,634,0,634,634,13,274704,170308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,550,0,550,550,11,195340,121887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,460,0,460,460,10,188257,116921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,946,0,946,946,8,215690,136140,230691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5645,7055,0,7607,7717,37,693053,416122,261718,102668,103,7794,51277,54760,52493,1696,386,69,332,1025,835,1415,262
13010,13329,0,13405,13537,7,132053,81624,54117,27264,181,10462,58371,54899,218938,5801,1912,693,1391,2637,2557,5079,631
11808,13170,0,12480,12412,36,567397,352011,221608,76199,197,8390,51697,52193,76532,3177,355,133,230,2195,1798,3223,645
12443,12443,0,12283,12683,5,132373,82545,55302,27365,201,12208,70006,66079,260736,5941,1328,379,493,2895,2275,3901,572
13757,14442,0,14317,12830,50,406088,244772,149579,26156,180,2132,19668,18907,73148,3015,197,62,153,2617,2113,3887,807
12124,11804,0,12318,12318,45,553250,343688,216534,136272,235,16869,97365,60038,256860,4393,662,142,178,2124,1728,2782,533
13567,13637,0,12881,13219,39,135958,83601,52706,26514,179,2127,20338,19553,228223,4232,700,202,657,3650,2790,4896,580
11876,11951,0,12129,13192,60,589508,353769,136684,128597,205,14878,51100,50057,211245,4127,553,47,235,2191,1850,3147,563
