arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
12814,12480,0,12642,13454,52,536464,303413,131986,74800,200,8443,20135,19473,75639,2986,234,92,108,2110,1738,2884,634
12476,12476,0,12794,13100,0,129731,81163,171244,103033,202,10944,60809,95052,380354,5844,449,174,260,3051,2443,3056,790
14020,13777,0,12509,12514,24,370254,78468,53271,26537,185,2172,20059,19033,74279,2925,192,141,335,3048,2488,4257,740
12268,12253,0,13314,12989,30,330094,211737,222384,134229,216,9305,57306,59046,254460,4767,203,47,143,2137,1757,2868,604
13236,13190,0,12729,13097,14,130496,83027,54214,27100,182,2136,52405,50050,201114,3973,477,247,472,3821,2393,4015,600
13081,13057,0,13315,13242,38,333410,336557,211768,123585,207,8148,50517,51031,215941,2959,222,91,131,2249,1816,4352,618
12565,11800,0,12890,12902,16,130169,81600,54614,27332,185,2503,62655,59447,236391,4276,826,303,500,3753,2432,3955,618
13324,13367,0,13496,13088,32,379313,229764,142519,78697,179,2134,19788,19335,75115,2958,132,73,98,2188,2484,4140,716
12169,12322,0,12483,12718,7,330768,207504,135062,78461,202,16099,92840,95504,246086,4742,510,187,301,2129,1753,2935,722
13048,13739,0,13380,13370,16,131872,79772,51815,25832,177,2115,56410,53730,214298,5244,663,235,425,3779,2953,4925,749
12192,13176,0,12613,12317,29,561825,340788,215047,74913,207,14160,79476,78591,206099,4252,447,174,126,2134,1774,2883,692
12423,12423,0,12538,12043,5,129615,79947,53434,26817,190,2220,20087,19031,73623,4427,410,137,236,4043,3088,4983,755
13009,13734,0,13582,13371,49,683589,408429,246569,82081,197,8414,49463,18888,72755,3008,162,62,97,2156,2425,4187,773
12272,12288,0,12653,12658,10,126908,78922,52068,66775,199,8069,50575,51225,375818,6070,857,225,334,3438,2666,4380,650
13678,13975,0,13275,13386,37,402137,261134,307672,183209,297,19082,101941,96588,387231,11930,1557,386,1180,4688,3703,6794,925
12613,12242,0,12198,13229,34,352972,214677,133578,121506,210,13834,48064,76747,319879,5731,1028,232,443,3211,2515,3039,742
13111,13046,0,12416,12416,35,337017,79561,53317,27172,187,2191,20646,19892,74782,3105,280,84,414,3108,2406,4148,778
13140,13167,0,12964,13846,26,424950,252968,259497,145903,208,15500,51009,48756,199607,4159,242,77,165,2129,1799,2961,559
12457,12388,0,12145,12165,0,125562,78270,52296,26323,185,2208,20155,51717,220022,4199,735,430,700,4369,3279,4260,582
12859,12673,0,13977,13726,37,449814,245258,162216,95990,202,2096,19486,18787,74374,2877,226,64,126,2112,1741,3529,573
13711,12651,0,12217,12312,6,128086,226363,140238,76960,195,8156,78909,77808,323251,3961,682,282,451,4147,2516,4157,586
12609,12524,0,13310,13285,37,332133,208134,136472,79640,185,2112,19944,19278,76627,2985,194,77,149,2211,1774,4110,596
12656,12584,0,12581,12844,7,133094,274181,168223,92456,202,16616,87213,83009,335924,4276,435,147,280,2127,1756,2975,732
13017,12402,0,12526,12602,2,123877,76962,51269,26303,182,2142,19636,19194,74706,3118,513,193,326,3218,3505,6077,856
12278,12277,0,13038,13212,35,590722,385262,252963,154642,197,10905,63112,60385,73534,3075,170,43,135,2146,1767,2978,720
12737,13103,0,12568,12399,3,121074,77248,51448,25798,196,7654,46392,45553,186929,5150,613,250,331,3074,2470,4250,789
12591,13193,0,13120,12329,47,537005,336883,212983,76321,200,8835,54970,19791,76842,3228,240,48,155,3274,2490,4287,837
12914,12928,0,13040,12982,6,132570,81218,52230,25890,195,9899,55913,53195,352664,5507,695,230,270,3013,2372,4091,778
13439,12713,0,12864,12363,36,346174,211054,52699,26531,182,2137,19393,18615,74065,3138,232,84,161,3141,2497,4568,852
12648,12648,0,12428,12363,30,342742,221114,231076,199397,236,25780,143993,104272,429520,6421,513,62,148,2110,1746,2902,625
13083,13191,0,12648,12373,0,125642,78226,52101,26511,184,2177,19804,19168,200683,4294,447,147,437,3852,2993,5377,841
12992,12791,0,12776,13129,50,539065,309313,213818,123785,210,14626,52256,52894,225323,4685,230,56,168,2216,1821,3102,848
12818,13048,0,12976,12993,8,130801,81849,54841,26386,180,2140,19684,56426,225026,4366,437,240,403,3801,2923,4006,813
