mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
5301121,2579539,7167415,70844,10027,3371,0,0,204538,45,7,277,45,0,0,0,0,0,0,62656,4596749,125881,131687,412,7,0,0,19361,8815170,15
4773962,2602302,7235328,71123,10082,3393,0,0,217089,157,7,74,37,0,0,0,0,0,0,76654,6345116,130037,131762,352,60,0,0,19104,7868837,0
4726349,2561117,7085910,70303,9924,3388,0,0,219248,0,0,37,29,0,0,0,0,0,0,67310,4645952,133031,134740,284,60,0,0,17858,7791277,10
4715013,2574728,7127041,70990,10082,3378,30,7,235080,164,0,105,15,0,0,0,0,0,0,73720,4650752,127772,127629,120,0,0,0,20292,7733661,5
5252838,2819557,8685376,113910,10014,3363,0,0,224723,142,0,135,30,0,0,0,0,0,0,65184,4626056,122111,124623,330,37,0,0,20202,7764471,0
5316226,2857362,8003123,71149,10083,3408,0,0,226238,142,0,127,60,0,0,0,0,0,0,71313,4617364,131860,133639,465,127,0,0,19462,9809513,50
4745099,2579950,7156225,71043,10110,3396,0,0,220545,90,0,120,0,0,0,0,0,0,0,74377,6301217,129149,135661,0,0,0,0,20318,7812528,0
4739912,2581633,7163110,70904,10013,3385,0,0,222225,225,0,247,0,0,0,0,0,0,0,71077,4636682,129178,132630,90,15,0,0,18912,7844222,0
4766989,2595405,7192917,71278,10100,3424,0,0,232273,112,0,202,37,0,0,0,0,0,0,68850,4642435,131144,134859,442,0,0,0,19583,7858425,9
4729939,2581704,7965391,93259,9985,3402,22,0,207451,112,0,104,0,0,0,0,0,0,0,67490,4604063,128344,132158,480,0,0,0,20267,7844755,4
